cellType,level,maxlevel,tlevel,maxtlevel,noise
OTHER,1,10,1,10,0
OTHER,2,10,2,10,0
OTHER,3,10,3,10,0
OTHER,4,10,4,10,0
OTHER,5,10,5,10,0
OTHER,6,10,6,10,0
OTHER,7,10,6,10,0
OTHER,8,10,6,10,0
OTHER,9,10,6,10,0
OTHER,10,10,6,10,0
EB,1,10,10,10,0
EB,2,10,9,10,0
EB,3,10,8,10,0
EB,4,10,7,10,0
EB,5,10,6,10,0
EB,6,10,5,10,0
EB,7,10,4,10,0
EB,8,10,3,10,0
EB,9,10,2,10,0
EB,10,10,1,10,0
