cellType,level,maxlevel,tlevel,maxtlevel,noise
OTHER,1,3,1,5,0.0
OTHER,2,3,1,5,0.0
OTHER,3,3,4,5,0.0
EB,1,5,5,5,0
EB,2,5,4,5,0
EB,3,5,3,5,0
EB,4,5,2,5,0
EB,5,5,1,5,0
